Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
20-Jun-25,Friday,June,Q2,2025,EQ,3425,3446.3,3410.9,3424,3429.1,3435.7,3432.16,4592.25,3056.05,2351248,100374
19-Jun-25,Thursday,June,Q2,2025,EQ,3450,3451,3413,3451.4,3420,3424,3426.54,4592.25,3056.05,2672768,125292
18-Jun-25,Wednesday,June,Q2,2025,EQ,3519.1,3538,3443.1,3515.3,3455,3451.4,3483.78,4592.25,3056.05,2696327,103359
17-Jun-25,Tuesday,June,Q2,2025,EQ,3510,3520,3488.1,3496.3,3512,3515.3,3511.25,4592.25,3056.05,2111940,145498
16-Jun-25,Monday,June,Q2,2025,EQ,3440,3509,3426.2,3445.7,3496.2,3496.3,3493.01,4592.25,3056.05,1934088,109847
13-Jun-25,Friday,June,Q2,2025,EQ,3393.2,3450.5,3393.2,3434.2,3447.4,3445.7,3436.18,4592.25,3056.05,2178493,140820
12-Jun-25,Thursday,June,Q2,2025,EQ,3471.9,3474.7,3423.2,3471.9,3432,3434.2,3447.13,4592.25,3056.05,4060134,164333
11-Jun-25,Wednesday,June,Q2,2025,EQ,3470,3489,3449.1,3462.9,3470.8,3471.9,3471.9,4592.25,3056.05,2847013,163525
10-Jun-25,Tuesday,June,Q2,2025,EQ,3440,3485.8,3423.2,3421.9,3461.9,3462.9,3462.61,4592.25,3056.05,2419874,109195
09-Jun-25,Monday,June,Q2,2025,EQ,3400,3434,3390.9,3384.2,3423,3421.9,3420.68,4592.25,3056.05,1718678,73412
06-Jun-25,Friday,June,Q2,2025,EQ,3371.1,3390.9,3358.7,3371.1,3388,3384.2,3376.59,4592.25,3056.05,2070390,94941
05-Jun-25,Thursday,June,Q2,2025,EQ,3409,3409,3363.7,3380.9,3374,3371.1,3380.39,4592.25,3056.05,3584683,129913
04-Jun-25,Wednesday,June,Q2,2025,EQ,3389,3394.8,3370,3405.2,3381,3380.9,3382.86,4592.25,3056.05,2544807,185107
03-Jun-25,Tuesday,June,Q2,2025,EQ,3446,3473.5,3400.5,3449.8,3411.4,3405.2,3418.44,4592.25,3056.05,2848125,195278
02-Jun-25,Monday,June,Q2,2025,EQ,3450,3460,3418.6,3463.4,3445.8,3449.8,3441.46,4592.25,3056.05,1877585,105414
30-May-25,Friday,May,Q2,2025,EQ,3490,3506.7,3453.1,3498.1,3460,3463.4,3473.8,4592.25,3056.05,3404365,104081
29-May-25,Thursday,May,Q2,2025,EQ,3504.7,3532.5,3486.5,3497.7,3494,3498.1,3500.24,4592.25,3056.05,3188072,146463
28-May-25,Wednesday,May,Q2,2025,EQ,3520,3529,3493,3498.7,3500.1,3497.7,3501.32,4592.25,3056.05,1222933,80594
27-May-25,Tuesday,May,Q2,2025,EQ,3532,3540,3483.1,3537.3,3501,3498.7,3500.34,4592.25,3056.05,2467680,165908
26-May-25,Monday,May,Q2,2025,EQ,3521,3545,3510.1,3514.6,3538,3537.3,3536.37,4592.25,3056.05,967470,67043
23-May-25,Friday,May,Q2,2025,EQ,3477,3535,3465.6,3477,3508,3514.6,3511.99,4592.25,3056.05,1274331,71383
22-May-25,Thursday,May,Q2,2025,EQ,3495,3497.8,3451.3,3525.8,3483.4,3477,3473.54,4592.25,3056.05,2034383,138574
21-May-25,Wednesday,May,Q2,2025,EQ,3508,3537,3498.3,3498.3,3521.1,3525.8,3523.98,4592.25,3056.05,1440153,72782
20-May-25,Tuesday,May,Q2,2025,EQ,3531.8,3558,3494,3518.8,3503,3498.3,3515.81,4592.25,3056.05,2038374,138343
19-May-25,Monday,May,Q2,2025,EQ,3550,3550,3503.7,3561.3,3518,3518.8,3522.37,4592.25,3056.05,2537377,129050
16-May-25,Friday,May,Q2,2025,EQ,3593.9,3593.9,3546.1,3579.9,3561.3,3561.3,3559.81,4592.25,3056.05,1666727,117749
15-May-25,Thursday,May,Q2,2025,EQ,3564,3600,3514.1,3548.7,3576.5,3579.9,3565.55,4592.25,3056.05,3548330,172937
14-May-25,Wednesday,May,Q2,2025,EQ,3521,3561,3508.6,3515,3547,3548.7,3543.04,4592.25,3056.05,2119499,136543
13-May-25,Tuesday,May,Q2,2025,EQ,3620.4,3623,3510.5,3620.4,3518,3515,3541.51,4592.25,3056.05,3062887,221289
12-May-25,Monday,May,Q2,2025,EQ,3505,3630.5,3502.2,3440.3,3626.5,3620.4,3577.93,4592.25,3056.05,2228678,146104
09-May-25,Friday,May,Q2,2025,EQ,3399,3446.2,3398.1,3448.9,3439.9,3440.3,3428.44,4592.25,3056.05,2531757,151453
08-May-25,Thursday,May,Q2,2025,EQ,3448,3477,3428.7,3445.1,3434.2,3448.9,3451.58,4592.25,3056.05,2543591,116139
07-May-25,Wednesday,May,Q2,2025,EQ,3420.6,3459.5,3420.6,3460,3448,3445.1,3442.07,4592.25,3056.05,1477128,89334
06-May-25,Tuesday,May,Q2,2025,EQ,3460,3473,3437,3454.3,3451.6,3460,3458.05,4592.25,3056.05,1324763,65526
05-May-25,Monday,May,Q2,2025,EQ,3450,3504.5,3446.4,3444.7,3454.6,3454.3,3466.59,4592.25,3056.05,1284443,96657
02-May-25,Friday,May,Q2,2025,EQ,3472,3491.5,3420,3453.7,3438,3444.7,3450.76,4592.25,3056.05,2115624,124212
30-Apr-25,Wednesday,April,Q2,2025,EQ,3472,3509.9,3366,3472.5,3431.8,3453.7,3464.02,4592.25,3056.05,2809332,129048
29-Apr-25,Tuesday,April,Q2,2025,EQ,3455,3495,3430.4,3443.5,3473,3472.5,3470.18,4592.25,3056.05,1578332,95060
28-Apr-25,Monday,April,Q2,2025,EQ,3435,3457.8,3405,3448,3441,3443.5,3438.58,4592.25,3056.05,1593296,94204
25-Apr-25,Friday,April,Q2,2025,EQ,3420,3477.8,3405,3401.6,3434,3448,3442.01,4592.25,3056.05,2742991,151400
24-Apr-25,Thursday,April,Q2,2025,EQ,3401.1,3412.5,3387.7,3413,3406,3401.6,3398.95,4592.25,3056.05,2252175,158061
23-Apr-25,Wednesday,April,Q2,2025,EQ,3365,3420.9,3337.3,3314.4,3405,3413,3398.75,4592.25,3056.05,3543923,164989
22-Apr-25,Tuesday,April,Q2,2025,EQ,3322.6,3333.9,3295,3321.6,3312.5,3314.4,3315.22,4592.25,3056.05,2710498,151282
21-Apr-25,Monday,April,Q2,2025,EQ,3290.1,3354,3284.1,3298.9,3319,3321.6,3325.96,4592.25,3056.05,2432946,127748
17-Apr-25,Thursday,April,Q2,2025,EQ,3245.5,3303.6,3218,3273.8,3297.4,3298.9,3262.86,4592.25,3056.05,2932346,183984
16-Apr-25,Wednesday,April,Q2,2025,EQ,3248.2,3278.1,3229,3248.2,3274,3273.8,3260.92,4592.25,3056.05,2384391,131199
15-Apr-25,Tuesday,April,Q2,2025,EQ,3314.4,3314.4,3238.6,3231.5,3255,3248.2,3257.87,4592.25,3056.05,3512160,166106
11-Apr-25,Friday,April,Q2,2025,EQ,3289.55,3298.95,3206,3246.6,3238,3231.5,3243.04,4592.25,3056.05,7108961,354463
09-Apr-25,Wednesday,April,Q2,2025,EQ,3260.55,3270,3212.05,3292.95,3239,3246.6,3248.58,4592.25,3056.05,2990265,184251
08-Apr-25,Tuesday,April,Q2,2025,EQ,3302.05,3349,3255.3,3274.05,3292.8,3292.95,3296.22,4592.25,3056.05,5557558,236248
07-Apr-25,Monday,April,Q2,2025,EQ,3100,3291.4,3056.05,3299.4,3285,3274.05,3167.51,4592.25,3056.05,6623955,386019
04-Apr-25,Friday,April,Q2,2025,EQ,3362.6,3399.65,3295.5,3403.15,3304.85,3299.4,3318.1,4592.25,3295.5,5317367,216133
03-Apr-25,Thursday,April,Q2,2025,EQ,3491,3502,3396.15,3543.95,3403.3,3403.15,3422.75,4592.25,3396.15,4537821,248807
02-Apr-25,Wednesday,April,Q2,2025,EQ,3544,3564.1,3530.05,3550.8,3545,3543.95,3547.15,4592.25,3457,1764313,80651
